time,current,cpu_cycles_0,insns_0,cache_hit_0,cache_miss_0,br_insns_0,br_miss_0,bus_cycles_0,cpu_cycles_1,insns_1,cache_hit_1,cache_miss_1,br_insns_1,br_miss_1,bus_cycles_1,cpu_cycles_2,insns_2,cache_hit_2,cache_miss_2,br_insns_2,br_miss_2,bus_cycles_2,cpu_cycles_3,insns_3,cache_hit_3,cache_miss_3,br_insns_3,br_miss_3,bus_cycles_3
10305308,2.232000,63620902,39906200,26488203,4789,3377316,5173,31806252,103673,47415,19215,242,4900,905,42531,22306,9863,3466,27,680,86,1949,45037,19733,7521,135,1691,291,13255
10406753,1.260000,60456135,50795378,25352189,4979,6382750,5420,30223922,108626,52349,20407,243,5751,1071,45029,22558,9876,3479,27,684,88,2072,42823,19596,7472,122,1685,256,12322
10508204,1.260000,62381094,51783774,25844330,5517,6505571,6343,31186403,116421,54068,21419,255,6023,1080,48920,22597,10594,3524,26,706,90,2181,62670,26139,9967,158,2452,469,22160
10609748,1.736000,65038751,36146902,19270593,7330,4860367,13002,32515212,112754,53167,20785,238,5855,1029,47111,23527,10572,3522,26,702,90,2671,60212,20148,7512,133,1749,316,20933
10711343,1.840000,66921662,8501874,7446727,11622,1902338,24637,33456626,246768,84154,33816,458,9309,1871,113980,25278,10584,3524,28,706,90,3546,28117,10582,3523,36,710,89,4845
10812954,1.784000,66099833,8494827,7456366,11316,1905106,22611,33045648,157712,58686,23052,289,6505,1161,69410,25163,9876,3480,26,681,87,3336,58852,19329,7040,114,1699,281,20344
10914569,1.260000,66297388,22430701,18963658,443932,1378395,6460,33144486,220373,43444,16921,209,4593,861,100792,23554,10591,3525,26,706,91,2679,90310,20143,7506,125,1743,281,35960
11016170,2.640000,57750653,21395058,17993597,444878,1135688,5199,28871026,107611,40361,15926,210,4197,724,44607,23589,10605,3524,26,706,91,2642,63913,25309,9883,173,2426,455,23188
11117796,2.500000,35149219,24346113,15521154,15070,2740995,4521,17570350,116217,39679,15436,206,4129,760,48736,28614,10566,3519,26,705,94,5179,106897,20140,7498,133,1743,306,44262
11219457,2.480000,101051280,70410120,45080777,37555,7851023,3229,50521436,279355,49710,19620,266,5267,1031,130238,22943,10565,3521,25,702,90,2362,24115,10595,3522,34,702,91,2891
11321063,1.252000,84535838,58803756,37626977,31691,6563041,3836,42263660,231268,41566,17025,216,4305,786,106237,22900,10557,3522,26,702,93,2366,88227,20198,7557,134,1750,283,35062
11422954,2.048000,84097440,42601250,45926312,105705,1558318,48187,42044466,988440,75530,31271,454,8027,1559,484794,655717,10571,3523,28,705,90,318786,714028,20102,7494,131,1740,268,347884
11524544,1.616000,70513611,47164460,17095739,203430,4670337,237344,35252524,4251477,79170,32186,513,8536,1697,2116418,3872932,10556,3519,25,701,93,1927396,3951972,32964,12751,201,3218,572,1966902
11626202,1.260000,4958861,2502832,887040,18361,343298,35353,2475222,378502,98798,40553,509,10998,1924,179848,2570513,1078102,394161,6888,117701,19978,1276139,187569,20093,7478,152,1744,298,84713
11727665,1.284000,588066,371197,142793,2103,82804,4515,289703,92628,42265,16830,282,4271,861,36957,21841,9756,3451,30,679,93,1996,22740,10577,3522,35,702,93,2194
11829119,1.256000,541147,362310,140270,1916,81237,3924,266348,99922,48667,19280,347,5067,938,40640,22459,10595,3523,26,702,91,2068,43676,19771,7529,127,1683,284,12689
11930544,1.256000,526415,356587,137591,1895,80412,3824,259079,80106,39003,15058,232,4234,728,30814,22428,10586,3526,26,706,93,2070,37349,17406,6189,101,1489,272,9564
12032091,1.256000,1118183,537978,210210,4448,103594,10103,554925,147198,69247,27670,442,7471,1342,64380,22873,10568,3523,26,705,93,2303,62338,28056,10750,180,2666,495,21988
12133693,1.220000,719334,404315,157365,2580,86085,5856,355436,74539,35428,13892,168,3589,612,28086,22623,10572,3523,28,702,90,2155,47363,20918,7689,143,1840,340,14426
12235672,1.212000,525560,352621,136049,1950,79629,3981,258560,78947,37691,14521,190,3897,680,30261,22347,10601,3524,28,706,91,2065,22520,10566,3523,42,710,90,2122
12337712,1.204000,547110,364380,141023,2068,81000,4151,269333,74681,35500,13913,176,3596,626,28067,22420,10562,3523,28,706,90,2124,42377,20059,7685,129,1723,285,12088
12439756,1.196000,506854,347557,134128,1649,79413,3481,249247,92877,45202,17396,217,4931,863,37153,84837,33629,13173,396,3207,873,33300,37182,17341,6198,101,1484,266,9410
12541760,1.204000,572380,377229,145952,2100,82949,4466,282051,76953,36893,14268,197,3812,692,29239,23410,10607,3524,30,706,95,2376,57170,26070,9931,176,2448,461,19478
12643792,1.204000,504015,345359,133084,1803,78879,3515,247901,74946,35797,14211,177,3616,627,28189,22451,10577,3524,28,707,93,2108,42885,19696,7564,135,1759,305,12158
12745821,1.208000,530035,357939,138065,1932,80233,3860,260806,75026,36365,14223,190,3720,625,28257,22319,10576,3523,28,706,92,2027,22699,10611,3526,35,710,92,2118
12847898,1.200000,526532,353137,136313,1988,79468,3840,259033,108250,51534,20838,337,5403,1163,44922,22367,10563,3524,28,707,91,2085,42674,20557,7667,129,1797,305,12141
12949929,1.204000,512305,351989,135646,1788,80535,3510,251934,95414,45795,17840,263,4794,890,38166,22426,10572,3521,29,702,92,2059,36898,17442,6206,98,1486,276,9223
13051957,1.204000,522985,353446,136089,1964,80230,3837,257366,76591,36968,14259,175,3814,668,28944,22502,10584,3525,28,706,94,2099,55236,26081,9943,183,2445,439,18466
13153996,1.196000,579975,380002,147938,2141,83195,4445,285810,112102,54367,21473,296,5774,1053,46812,60770,26815,10322,246,2303,513,21315,43566,20228,7511,148,1766,298,12561
13256031,1.204000,557054,364961,141035,2172,81372,4205,274350,78652,37943,15114,200,3814,689,30039,22612,10645,3524,28,706,91,2080,22666,10597,3527,35,707,91,2230
13358098,1.192000,501989,343207,132146,1824,78622,3465,246802,76287,36941,14269,179,3815,648,28950,22433,10593,3523,28,706,90,2091,41978,20034,7685,116,1716,281,11922
13460118,1.200000,533439,359670,139122,1973,80823,3893,262558,94481,45736,17842,244,4795,842,37865,22426,10556,3521,28,702,90,2129,23085,10600,3520,36,702,89,2320
13562138,1.200000,531286,359072,138871,1886,80522,3911,261469,73723,34714,13863,179,3576,584,27478,22551,10566,3528,28,706,91,2134,55094,26054,9933,162,2451,442,18473
13664349,1.204000,630594,386243,149165,2345,82979,4748,311188,84278,36973,14278,185,3813,641,32896,30792,10568,3521,28,705,92,6338,50988,20296,7528,126,1777,304,16255
13766375,1.200000,521364,353726,136002,1938,80143,3770,256565,74649,35427,13898,187,3594,571,28181,22525,10620,3524,28,706,92,2127,22765,10634,3524,37,710,90,2206
13868398,1.204000,535286,360236,139380,2107,80415,3990,263500,75911,36904,14258,181,3811,628,28773,22466,10574,3524,28,706,91,2112,55510,26591,10241,147,2461,439,18661
13970423,1.200000,503629,346663,133675,1827,79167,3501,247629,77538,37685,14513,189,3891,685,29567,22293,10580,3524,28,706,91,2047,22785,10650,3523,35,710,89,2158
14072447,1.192000,535578,361715,139990,2032,80659,3945,263660,73654,35490,13899,172,3593,613,27536,22331,9874,3459,28,683,87,1957,54984,26049,9931,167,2451,443,18409
14174484,1.248000,566179,375831,146022,2080,82641,4375,278906,76047,36943,14266,180,3812,627,28803,22536,10616,3524,28,706,93,2129,42453,20233,7512,134,1766,291,12067
14276508,1.188000,537605,362712,140782,1961,80540,3929,264601,73570,35494,13914,167,3598,578,27556,22572,10585,3524,28,706,91,2124,22648,10606,3523,36,706,89,2161
14378534,1.200000,496951,341100,131325,1760,78087,3433,244306,76595,37040,14277,172,3813,628,29040,22382,10564,3524,28,706,94,2082,43994,21453,8015,129,1922,335,12903
14480674,1.200000,2941060,1970383,778760,8282,292548,27585,1466357,89701,40651,15703,210,4283,753,35660,52782,20261,7527,153,1810,377,17315,26510,10592,3522,38,709,89,4162
14582880,1.204000,525676,346889,133539,1897,79461,3800,258507,78341,34792,13841,165,3503,588,30017,22438,10635,3524,31,706,91,2076,59042,26013,9932,169,2454,439,20457
