time,current,cpu_cycles_0,insns_0,cache_hit_0,cache_miss_0,br_insns_0,br_miss_0,bus_cycles_0,cpu_cycles_1,insns_1,cache_hit_1,cache_miss_1,br_insns_1,br_miss_1,bus_cycles_1,cpu_cycles_2,insns_2,cache_hit_2,cache_miss_2,br_insns_2,br_miss_2,bus_cycles_2,cpu_cycles_3,insns_3,cache_hit_3,cache_miss_3,br_insns_3,br_miss_3,bus_cycles_3
10000148,4.492000,101057534,39144881,11671080,3987271,3863169,56728,50524438,101027714,37483574,11844666,4057978,3267214,55628,50506813,100990892,37493227,11814585,4066770,3287300,55492,50488314,100955678,37155439,11872986,4079670,3161089,55212,50470830
10101896,4.900000,101073877,35679673,12021718,4068691,2740099,58593,50532482,101046796,36210579,12099923,4053173,2819166,56925,50516339,101010027,36042602,12088023,4056992,2780753,56724,50497919,101032783,36607346,12079178,4042993,2936706,56314,50509315
10203564,4.684000,101049116,38264531,12090191,4024425,3433039,58594,50520079,101030787,39267089,11667480,4020011,3841763,55254,50508320,100990072,39246845,11656755,4042580,3839619,54402,50487913,100950973,39274664,11672353,4021013,3842074,55615,50468366
10305220,4.468000,101043263,39098933,11658532,3987298,3857367,56506,50517275,101010964,37139464,11883251,4064682,3153988,56224,50498275,100973797,37183847,11855780,4076736,3180237,55493,50479837,100939013,36746010,11916302,4082872,3028353,55973,50462454
10406908,4.676000,101077244,35821610,12018757,4068079,2778789,58087,50534328,101047879,36609683,12077500,4044897,2938842,56733,50516756,101011142,36438035,12068544,4051609,2897890,56490,50498233,100973847,36946034,12024931,4031518,3060126,56510,50479783
10508584,4.700000,101061366,38196666,12108552,4027271,3403946,58605,50526206,101031563,39338029,11681193,4027678,3850678,54845,50508722,100996880,39170670,11639945,4035880,3830038,54730,50491316,100960249,39329698,11677127,4032979,3849735,54465,50473019
10610252,4.516000,101051691,39035133,11642767,3981516,3849744,56387,50521516,101028892,36665261,11891694,4074233,3021912,56056,50507205,100991325,36801248,11863010,4082354,3072160,55322,50488512,100955508,36338566,11960652,4092898,2892270,55966,50470688
10712020,4.756000,101073565,35860728,11977826,4057971,2814662,58549,50532539,101115881,36921151,12031923,4022040,3050958,57044,50550699,101079750,36658288,12017597,4041141,2986882,56340,50532709,101042154,37371184,11983253,4009156,3198763,56314,50513946
10813682,4.708000,101061076,38020000,12119945,4028500,3350836,59267,50526205,101032600,39274947,11665944,4027037,3842894,54903,50509211,100994996,39141663,11634075,4033959,3826455,54876,50490226,100957241,39263772,11666437,4021656,3841436,55138,50471484
10915349,4.504000,101057024,39002722,11636314,3972138,3845634,56697,50524145,101028971,36405890,11945974,4087919,2918247,55708,50507272,100991614,36484160,11867066,4084965,2985707,55477,50488677,100954763,35884388,11973748,4095558,2764159,56186,50470371
11016999,4.620000,101033317,36089157,11980621,4066799,2872063,57865,50512565,101010539,37407755,12025503,4027945,3183017,56527,50498481,100972583,36952433,12012749,4039876,3069862,56670,50479423,100936706,37804228,11965261,4010402,3324013,56093,50461687
11118675,4.704000,101059267,37854681,12131007,4027131,3301166,59378,50525187,101027742,39312634,11672136,4033207,3847922,54406,50506784,100991248,39183411,11643515,4038370,3831748,54699,50488566,100958077,39265766,11673446,4027432,3838553,54674,50472012
11220478,4.508000,101068178,38915016,11613313,3969926,3836372,56278,50529721,101038946,35940036,11980837,4094847,2774222,56134,50512104,100997505,36213894,11899309,4090212,2893736,55437,50491476,100957310,35543979,11965938,4106755,2670113,56148,50471393
11322181,4.620000,101092237,36331315,11987702,4064658,2933380,58089,50541794,101064426,37848929,11984979,4016744,3323988,55996,50525097,101026125,37371302,12012938,4038269,3180690,56274,50505888,100987008,38214727,11928251,3998516,3457174,56189,50486487
11423850,4.728000,101053197,37678407,12139484,4031769,3247679,58894,50522282,101022187,39269031,11664311,4020042,3842149,54718,50504017,100986407,39078144,11618019,4025298,3818540,54699,50485909,100954511,38911640,11741869,4031398,3707762,54705,50470194
11525523,4.500000,101061154,38854469,11600903,3970620,3827509,56733,50526203,101030118,35566822,11974992,4111424,2669387,55920,50507719,100991498,35955297,11938910,4099653,2802454,55808,50488622,100953606,35577993,11979864,4108296,2669477,55892,50469662
11627190,4.644000,101057850,36521306,11973148,4062986,2993108,58215,50524505,101025846,38321320,11964679,4011454,3462877,56081,50505865,100989194,37657943,11982997,4036883,3275223,56392,50487416,100950893,38701086,11896568,3998166,3602868,55477,50468314
11728872,4.580000,101055857,37446138,12151238,4022240,3182658,60362,50523607,101040323,38868119,11725437,4032057,3706834,54911,50513021,101004118,39150601,11634469,4031068,3827529,54532,50495034,100970114,38422725,11772150,4035961,3561030,55413,50478018
11830527,4.760000,101041687,38824161,11589691,3968248,3823499,56184,50516403,101012266,35493481,11945000,4101942,2668612,56048,50499114,100966084,35593571,11949521,4106763,2698234,55666,50475977,100938715,35513367,11953263,4096068,2671064,56440,50462118
11932206,4.656000,101069638,36766441,11964928,4054922,3064984,58691,50530384,101039332,38619865,11911304,4005141,3573819,55663,50512517,101001021,38002714,11963328,4027885,3377703,55816,50493436,100961739,39041690,11855112,3985189,3720676,55734,50473839
12033859,4.664000,101030441,37240284,12166505,4031201,3115396,59399,50510760,101014811,38478672,11741499,4026662,3593596,55007,50500219,100978287,39005982,11654209,4026696,3783746,54285,50482019,100941872,38012610,11785149,4042261,3442464,55019,50463801
